"","TrialNum","Onset","TrueOns","Cond","Sentence","Resp","RT","correct","subind","runnum","cond_type","rep","corr_first","group_num","group"
"1",0,0,0.03,2,"A fence walked to the mother.","nonsense",3.49229097366,1,"ldrc_0_009","1","active_ns",FALSE,1,1,"A_first"
"2",1,10.72,10.74,3,"The shirt was stained by mud.","sense",5.71239614487,1,"ldrc_0_009","1","passive_s",FALSE,1,1,"A_first"
"3",2,21.39,21.41,4,"Fire was licked by a banana.","nonsense",3.54347896576,1,"ldrc_0_009","1","passive_ns",FALSE,1,1,"A_first"
"4",3,38.56,38.57,1,"The banker counted the money.","sense",2.54493284225,1,"ldrc_0_009","1","active_s",FALSE,1,1,"A_first"
"5",4,54.45,54.46,4,"Pie was raised by the letter.","nonsense",4.43052697182,1,"ldrc_0_009","1","passive_ns",FALSE,1,1,"A_first"
"6",5,64.83,64.84,1,"The boy cleared off the table.","sense",2.70104789734,1,"ldrc_0_009","1","active_s",FALSE,1,1,"A_first"
"7",6,80.32,80.33,4,"A rope was sold by the frog.","nonsense",3.67592787743,1,"ldrc_0_009","1","passive_ns",FALSE,1,1,"A_first"
"8",7,90.96,90.97,2,"The snake asked for the father.","nonsense",5.52585411072,1,"ldrc_0_009","1","active_ns",FALSE,1,1,"A_first"
"9",8,106.1,106.11,2,"A basement won the family.","sense",6.37172794342,0,"ldrc_0_009","1","active_ns",FALSE,0,1,"A_first"
"10",9,116.71,116.72,1,"A tiger scared the zebra.","sense",2.51631903648,1,"ldrc_0_009","1","active_s",FALSE,1,1,"A_first"
"11",10,131.58,131.59,1,"A bird dropped the worm.","sense",3.58711910248,1,"ldrc_0_009","1","active_s",FALSE,1,1,"A_first"
"12",11,143.41,143.43,4,"The girl was told by a fork.","nonsense",4.86519002914,1,"ldrc_0_009","1","passive_ns",FALSE,1,1,"A_first"
"13",12,154.13,154.15,4,"Bread was scratched by a tray.","nonsense",5.07641911507,1,"ldrc_0_009","1","passive_ns",FALSE,1,1,"A_first"
"14",13,164.48,164.48,3,"The lamp was bought by the sister.",NA,NA,4,"ldrc_0_009","1","passive_s",FALSE,0,1,"A_first"
"15",14,182.42,182.43,1,"The uncle put sugar in the tea.","sense",7.01002001762,1,"ldrc_0_009","1","active_s",FALSE,1,1,"A_first"
"16",15,193.7,193.71,2,"A hen carried the dancer.","nonsense",4.18725800514,1,"ldrc_0_009","1","active_ns",FALSE,1,1,"A_first"
"17",16,206.11,206.12,4,"A chair was tasted by a frame.","nonsense",4.16658091545,1,"ldrc_0_009","1","passive_ns",FALSE,1,1,"A_first"
"18",17,223.68,223.69,3,"The show was seen by a child.","sense",5.92426991463,1,"ldrc_0_009","1","passive_s",FALSE,1,1,"A_first"
"19",18,234.74,234.75,3,"Soup was served by a woman.","sense",5.8121111393,1,"ldrc_0_009","1","passive_s",FALSE,1,1,"A_first"
"20",19,250.08,250.09,2,"The iron borrowed a teacher.","nonsense",3.6659579277,1,"ldrc_0_009","1","active_ns",FALSE,1,1,"A_first"
"21",20,260.45,260.46,3,"A cat was saved by a king.","sense",5.51409983635,1,"ldrc_0_009","1","passive_s",FALSE,1,1,"A_first"
"22",21,270.85,270.86,1,"The queen planted a flower.","sense",3.43304991722,1,"ldrc_0_009","1","active_s",FALSE,1,1,"A_first"
"23",22,280.9,280.92,3,"A rug was rolled by the actor.","nonsense",5.60632395744,0,"ldrc_0_009","1","passive_s",FALSE,0,1,"A_first"
"24",23,293.63,293.64,2,"The couch sang to the duck.","nonsense",3.62780189514,1,"ldrc_0_009","1","active_ns",FALSE,1,1,"A_first"
"25",24,304.11,304.13,4,"Pasta was waved by a fish.","nonsense",3.66849112511,1,"ldrc_0_009","1","passive_ns",FALSE,1,1,"A_first"
"26",25,314.89,314.9,1,"A mouse chewed on the cheese.","sense",4.22380590439,1,"ldrc_0_009","1","active_s",FALSE,1,1,"A_first"
"27",26,325.02,325.03,3,"A phone was used by a doctor.","sense",3.0033929348,1,"ldrc_0_009","1","passive_s",FALSE,1,1,"A_first"
"28",27,339.56,339.57,2,"The ear dressed a student.","nonsense",5.04358816147,1,"ldrc_0_009","1","active_ns",FALSE,1,1,"A_first"
"29",28,350.98,350.99,1,"A fly entered the house.","sense",3.11172294617,1,"ldrc_0_009","1","active_s",FALSE,1,1,"A_first"
"30",29,368.12,368.14,4,"A cup was cut by the pillow.","nonsense",4.94172000885,1,"ldrc_0_009","1","passive_ns",FALSE,1,1,"A_first"
"31",30,380.08,380.09,3,"Pizza was cooked by the man.",NA,NA,4,"ldrc_0_009","1","passive_s",FALSE,0,1,"A_first"
"32",31,395.78,395.8,2,"A joke hugged the dragon.","nonsense",4.06914615631,1,"ldrc_0_009","1","active_ns",FALSE,1,1,"A_first"
"33",0,0,0.03,1,"A cousin wanted a pillow.","sense",2.18716812134,1,"ldrc_0_009","2","active_s",FALSE,1,1,"A_first"
"34",1,10.16,10.17,2,"The woman scared the paper.","nonsense",3.30098891258,1,"ldrc_0_009","2","active_ns",FALSE,1,1,"A_first"
